epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2533.53,0.62688,2.06325,0.20489,0.65636,0.98585,0.98188,0.98216,0.99044,0.93366,0.99964,0.99967,0.99477,0.6663,0.34124,1.47169,0.10857,0.30439,0.77932,0.00066565,0.00066565,0.00066565
2,4769.99,0.35034,1.12566,0.05886,0.31447,0.80398,0.98185,0.98188,0.98903,0.94898,0.99958,0.99967,0.9947,0.69872,0.3252,1.44493,0.07125,0.32306,0.77542,0.00120042,0.00120042,0.00120042
3,7159.45,0.3228,0.98213,0.0452,0.29422,0.79326,0.9822,0.98161,0.98907,0.96066,0.9999,1,0.995,0.7051,0.28327,1.35043,0.07903,0.27363,0.76855,0.00160318,0.00160318,0.00160318
4,9421.96,0.28275,0.89338,0.03911,0.26803,0.7873,0.9853,0.98023,0.99182,0.97674,0.99997,1,0.995,0.72758,0.23244,1.23579,0.11873,0.22286,0.76206,0.001406,0.001406,0.001406
5,11550.4,0.26769,0.80253,0.03342,0.25545,0.7818,0.98373,0.98155,0.99127,0.97211,0.99998,1,0.995,0.74701,0.24386,1.19211,0.10656,0.23774,0.76034,0.001208,0.001208,0.001208
6,13843.9,0.24947,0.78618,0.0287,0.24645,0.78001,0.98252,0.98188,0.99248,0.97776,0.99995,1,0.995,0.76624,0.23695,1.1449,0.0726,0.22785,0.75898,0.00101,0.00101,0.00101
7,16142,0.23573,0.73577,0.02705,0.23472,0.77935,0.98414,0.98145,0.99211,0.97959,0.99997,1,0.995,0.76665,0.22265,1.14355,0.16096,0.20773,0.75839,0.000812,0.000812,0.000812
8,18393.1,0.21465,0.73721,0.02248,0.22212,0.77586,0.98577,0.9812,0.99255,0.98272,0.99998,1,0.995,0.77592,0.21254,1.11777,0.04381,0.19575,0.75557,0.000614,0.000614,0.000614
9,20900.3,0.20176,0.7129,0.01944,0.21,0.77264,0.98414,0.98115,0.99177,0.9843,0.99998,1,0.995,0.7719,0.1943,1.11761,0.03994,0.18812,0.75365,0.000416,0.000416,0.000416
10,23723.7,0.18371,0.67309,0.01834,0.19584,0.77019,0.98554,0.98056,0.99266,0.98741,0.99996,1,0.995,0.77431,0.17959,1.1166,0.01584,0.18269,0.75371,0.000218,0.000218,0.000218
